student_id,subject,total,present,late,absent,other,attendance_rate
S05255,Science,3,1,2,0,0,1.0
S03115,Science,6,3,3,0,0,1.0
S09931,Science,2,1,1,0,0,1.0
S02387,Science,5,2,3,0,0,1.0
S05381,Science,2,0,2,0,0,1.0
S02112,Science,4,2,2,0,0,1.0
S08281,Science,3,1,2,0,0,1.0
S01527,Science,1,0,1,0,0,1.0
S08583,Science,1,0,1,0,0,1.0
S01657,Science,2,2,0,0,0,1.0
S04585,Science,1,0,1,0,0,1.0
S12022,Science,2,1,1,0,0,1.0
S09549,Science,4,1,3,0,0,1.0
S01015,Science,2,1,1,0,0,1.0
S06281,Science,5,4,1,0,0,1.0
S05849,Science,4,2,2,0,0,1.0
S07505,Science,3,1,2,0,0,1.0
S09259,Science,6,3,3,0,0,1.0
S02760,Science,3,2,1,0,0,1.0
S07924,Science,2,1,1,0,0,1.0
S09285,Science,6,2,4,0,0,1.0
S03490,Science,4,1,3,0,0,1.0
S05424,Science,4,4,0,0,0,1.0
S06764,Science,2,0,2,0,0,1.0
S05289,Science,3,2,1,0,0,1.0
S01408,Science,3,2,1,0,0,1.0
S06119,Science,2,2,0,0,0,1.0
S01652,Science,3,0,3,0,0,1.0
S02250,Science,2,2,0,0,0,1.0
S05332,Science,8,5,3,0,0,1.0
S06076,Science,5,2,3,0,0,1.0
S10443,Science,1,1,0,0,0,1.0
S10753,Science,3,0,3,0,0,1.0
S11041,Science,6,3,3,0,0,1.0
S01677,Science,5,2,3,0,0,1.0
S04438,Science,4,3,1,0,0,1.0
S07137,Science,1,0,1,0,0,1.0
S10590,Science,2,1,1,0,0,1.0
S03938,Science,5,2,3,0,0,1.0
S08673,Science,4,3,1,0,0,1.0
S08835,Science,4,3,1,0,0,1.0
S10642,Science,5,2,3,0,0,1.0
S07606,Science,4,3,1,0,0,1.0
S07996,Science,3,2,1,0,0,1.0
S01129,Science,4,1,3,0,0,1.0
S06460,Science,3,1,2,0,0,1.0
S08969,Science,2,1,1,0,0,1.0
S11341,Science,2,0,2,0,0,1.0
S01847,Science,3,0,3,0,0,1.0
S04312,Science,4,2,2,0,0,1.0
S08105,Science,3,1,2,0,0,1.0
S01437,Science,3,1,2,0,0,1.0
S03474,Science,2,0,2,0,0,1.0
S04618,Science,5,2,3,0,0,1.0
S04286,Science,2,1,1,0,0,1.0
S00172,Science,1,0,1,0,0,1.0
S00040,Science,1,1,0,0,0,1.0
S08151,Science,4,0,4,0,0,1.0
S09601,Science,4,1,3,0,0,1.0
S05049,Science,1,0,1,0,0,1.0
S01695,Science,5,4,1,0,0,1.0
S10186,Science,3,3,0,0,0,1.0
S08003,Science,2,1,1,0,0,1.0
S02315,Science,1,0,1,0,0,1.0
S11828,Science,2,1,1,0,0,1.0
S00581,Science,3,3,0,0,0,1.0
S05090,Science,5,3,2,0,0,1.0
S04147,Science,4,3,1,0,0,1.0
S02833,Science,2,2,0,0,0,1.0
S00710,Science,2,2,0,0,0,1.0
S04353,Science,5,1,4,0,0,1.0
S03414,Science,3,1,2,0,0,1.0
S04570,Science,4,2,2,0,0,1.0
S02546,Science,2,1,1,0,0,1.0
S04624,Science,3,3,0,0,0,1.0
S05633,Science,6,3,3,0,0,1.0
S09865,Science,6,1,5,0,0,1.0
S04970,Science,8,3,5,0,0,1.0
S03622,Science,1,1,0,0,0,1.0
S00045,Science,4,3,1,0,0,1.0
S10342,Science,6,1,5,0,0,1.0
S06536,Science,2,1,1,0,0,1.0
S03341,Science,4,1,3,0,0,1.0
S03069,Science,3,2,1,0,0,1.0
S09632,Science,4,2,2,0,0,1.0
S05079,Science,2,0,2,0,0,1.0
S07672,Science,4,3,1,0,0,1.0
S00672,Science,4,3,1,0,0,1.0
S05326,Science,3,1,2,0,0,1.0
S06350,Science,4,3,1,0,0,1.0
S05900,Science,7,4,3,0,0,1.0
S07339,Science,9,4,5,0,0,1.0
S03015,Science,1,0,1,0,0,1.0
S04462,Science,5,3,2,0,0,1.0
S11704,Science,3,1,2,0,0,1.0
S03104,Science,4,1,3,0,0,1.0
S10054,Science,5,2,3,0,0,1.0
S11057,Science,5,0,5,0,0,1.0
S12033,Science,3,1,2,0,0,1.0
S01628,Science,7,3,4,0,0,1.0
S06064,Science,3,2,1,0,0,1.0
S03764,Science,1,1,0,0,0,1.0
S01600,Science,6,2,4,0,0,1.0
S08139,Science,7,5,2,0,0,1.0
S05141,Science,4,1,3,0,0,1.0
S09563,Science,5,2,3,0,0,1.0
S02008,Science,2,2,0,0,0,1.0
S05613,Science,5,2,3,0,0,1.0
S10723,Science,2,0,2,0,0,1.0
S02390,Science,2,1,1,0,0,1.0
S10658,Science,5,1,4,0,0,1.0
S10496,Science,2,1,1,0,0,1.0
S00984,Science,4,1,3,0,0,1.0
S03976,Science,3,1,2,0,0,1.0
S11887,Science,4,3,1,0,0,1.0
S09311,Science,3,1,2,0,0,1.0
S06645,Science,3,2,1,0,0,1.0
S02608,Science,4,1,3,0,0,1.0
S09541,Science,5,3,2,0,0,1.0
S10587,Science,5,2,3,0,0,1.0
S00476,Science,4,3,1,0,0,1.0
S10383,Science,5,3,2,0,0,1.0
S10787,Science,6,4,2,0,0,1.0
S02909,Science,3,1,2,0,0,1.0
S02156,Science,3,0,3,0,0,1.0
S00273,Science,4,2,2,0,0,1.0
S00425,Science,3,2,1,0,0,1.0
S01030,Science,4,1,3,0,0,1.0
S10187,Science,3,1,2,0,0,1.0
S05342,Science,1,0,1,0,0,1.0
S03520,Science,2,0,2,0,0,1.0
S04711,Science,3,1,2,0,0,1.0
S04770,Science,2,2,0,0,0,1.0
S10159,Science,1,0,1,0,0,1.0
S06869,Science,3,2,1,0,0,1.0
S02670,Science,6,4,2,0,0,1.0
S04752,Science,3,1,2,0,0,1.0
S05126,Science,4,2,2,0,0,1.0
S08512,Science,3,0,3,0,0,1.0
S01739,Science,2,2,0,0,0,1.0
S04119,Science,3,0,3,0,0,1.0
S09110,Science,2,0,2,0,0,1.0
S07235,Science,4,2,2,0,0,1.0
S02355,Science,6,4,2,0,0,1.0
S07113,Science,4,4,0,0,0,1.0
S06424,Science,3,1,2,0,0,1.0
S01902,Science,3,0,3,0,0,1.0
S10665,Science,5,2,3,0,0,1.0
S06214,Science,5,4,1,0,0,1.0
S07059,Science,1,0,1,0,0,1.0
S02138,Science,5,3,2,0,0,1.0
S04456,Science,4,2,2,0,0,1.0
S01184,Science,2,2,0,0,0,1.0
S06673,Science,2,0,2,0,0,1.0
S11661,Science,2,1,1,0,0,1.0
S01549,Science,5,4,1,0,0,1.0
S01228,Science,3,1,2,0,0,1.0
S00994,Science,4,2,2,0,0,1.0
S04212,Science,3,1,2,0,0,1.0
S02774,Science,3,2,1,0,0,1.0
S04862,Science,2,2,0,0,0,1.0
S04744,Science,3,1,2,0,0,1.0
S09159,Science,2,1,1,0,0,1.0
S06787,Science,2,2,0,0,0,1.0
S06976,Science,3,2,1,0,0,1.0
S02798,Science,3,1,2,0,0,1.0
S11861,Science,2,1,1,0,0,1.0
S07210,Science,3,2,1,0,0,1.0
S06828,Science,3,2,1,0,0,1.0
S02605,Science,3,2,1,0,0,1.0
S08478,Science,1,0,1,0,0,1.0
S10081,Science,3,0,3,0,0,1.0
S00756,Science,3,1,2,0,0,1.0
S01874,Science,5,3,2,0,0,1.0
S05890,Science,2,0,2,0,0,1.0
S02944,Science,5,2,3,0,0,1.0
S05009,Science,5,2,3,0,0,1.0
S09777,Science,5,0,5,0,0,1.0
S04415,Science,3,0,3,0,0,1.0
S04960,Science,3,1,2,0,0,1.0
S12007,Science,3,0,3,0,0,1.0
S10107,Science,5,2,3,0,0,1.0
S08903,Science,2,2,0,0,0,1.0
S07892,Science,4,2,2,0,0,1.0
S11652,Science,5,2,3,0,0,1.0
S09417,Science,3,1,2,0,0,1.0
S02878,Science,5,1,4,0,0,1.0
S07814,Science,3,2,1,0,0,1.0
S03693,Science,2,2,0,0,0,1.0
S02364,Science,2,1,1,0,0,1.0
S05622,Science,3,2,1,0,0,1.0
S11656,Science,2,0,2,0,0,1.0
S09221,Science,4,3,1,0,0,1.0
S02715,Science,3,0,3,0,0,1.0
S02587,Science,4,3,1,0,0,1.0
S05699,Science,4,2,2,0,0,1.0
S09304,Science,4,2,2,0,0,1.0
S04593,Science,3,3,0,0,0,1.0
S02651,Science,4,3,1,0,0,1.0
S10037,Science,1,0,1,0,0,1.0
S01920,Science,4,1,3,0,0,1.0
S11284,Science,3,2,1,0,0,1.0
S02285,Science,6,4,2,0,0,1.0
S09942,Science,3,1,2,0,0,1.0
S07898,Science,4,2,2,0,0,1.0
S00366,Science,4,1,3,0,0,1.0
S04929,Science,4,1,3,0,0,1.0
S08082,Science,1,1,0,0,0,1.0
S05810,Science,2,0,2,0,0,1.0
S02968,Science,1,0,1,0,0,1.0
S09166,Science,2,0,2,0,0,1.0
S05227,Science,3,0,3,0,0,1.0
S12097,Science,4,2,2,0,0,1.0
S08893,Science,7,4,3,0,0,1.0
S05104,Science,3,2,1,0,0,1.0
S01686,Science,3,2,1,0,0,1.0
S10983,Science,2,0,2,0,0,1.0
S10586,Science,2,1,1,0,0,1.0
S11468,Science,2,2,0,0,0,1.0
S11356,Science,2,1,1,0,0,1.0
S00352,Science,3,1,2,0,0,1.0
S03340,Science,1,0,1,0,0,1.0
S11037,Science,2,2,0,0,0,1.0
S11361,Science,4,2,2,0,0,1.0
S08352,Science,5,1,4,0,0,1.0
S07313,Science,1,0,1,0,0,1.0
S05528,Science,4,3,1,0,0,1.0
S05641,Science,3,2,1,0,0,1.0
S09203,Science,2,2,0,0,0,1.0
S08033,Science,2,1,1,0,0,1.0
S08014,Science,2,2,0,0,0,1.0
S12016,Science,3,3,0,0,0,1.0
S07468,Science,2,2,0,0,0,1.0
S01982,Science,1,1,0,0,0,1.0
S01620,Science,1,1,0,0,0,1.0
S03052,Science,4,3,1,0,0,1.0
S11202,Science,2,0,2,0,0,1.0
S07715,Science,4,2,2,0,0,1.0
S02070,Science,4,3,1,0,0,1.0
S08880,Science,3,1,2,0,0,1.0
S08842,Science,2,0,2,0,0,1.0
S00539,Science,3,0,3,0,0,1.0
S09085,Science,2,2,0,0,0,1.0
S03384,Science,5,3,2,0,0,1.0
S10905,Science,4,1,3,0,0,1.0
S00558,Science,2,2,0,0,0,1.0
S01259,Science,3,0,3,0,0,1.0
S06648,Science,3,1,2,0,0,1.0
S06880,Science,5,1,4,0,0,1.0
S00155,Science,3,1,2,0,0,1.0
S02178,Science,2,2,0,0,0,1.0
S07722,Science,2,1,1,0,0,1.0
S03521,Science,1,1,0,0,0,1.0
S00320,Science,4,2,2,0,0,1.0
S11319,Science,5,3,2,0,0,1.0
S05791,Science,4,2,2,0,0,1.0
S09974,Science,5,4,1,0,0,1.0
S11482,Science,5,2,3,0,0,1.0
S09784,Science,2,2,0,0,0,1.0
S09526,Science,3,1,2,0,0,1.0
S08412,Science,5,4,1,0,0,1.0
S05859,Science,2,2,0,0,0,1.0
S07156,Science,2,1,1,0,0,1.0
S08068,Science,5,2,3,0,0,1.0
S11442,Science,6,2,4,0,0,1.0
S06038,Science,5,2,3,0,0,1.0
S05556,Science,3,1,2,0,0,1.0
S09939,Science,3,1,2,0,0,1.0
S02247,Science,5,1,4,0,0,1.0
S04448,Science,5,2,3,0,0,1.0
S09956,Science,4,2,2,0,0,1.0
S10999,Science,4,2,2,0,0,1.0
S07358,Science,4,1,3,0,0,1.0
S01725,Science,2,0,2,0,0,1.0
S06871,Science,4,3,1,0,0,1.0
S06280,Science,2,1,1,0,0,1.0
S07500,Science,3,2,1,0,0,1.0
S11306,Science,7,5,2,0,0,1.0
S00844,Science,3,1,2,0,0,1.0
S05266,Science,5,3,2,0,0,1.0
S00361,Science,3,0,3,0,0,1.0
S00205,Science,4,2,2,0,0,1.0
S04491,Science,2,0,2,0,0,1.0
S07594,Science,2,2,0,0,0,1.0
S11177,Science,2,1,1,0,0,1.0
S00626,Science,3,2,1,0,0,1.0
S10981,Science,1,0,1,0,0,1.0
S02677,Science,8,4,4,0,0,1.0
S09539,Science,3,3,0,0,0,1.0
S01792,Science,5,2,3,0,0,1.0
S01810,Science,3,2,1,0,0,1.0
S04278,Science,3,2,1,0,0,1.0
S08057,Science,2,2,0,0,0,1.0
S10242,Science,3,1,2,0,0,1.0
S03769,Science,3,3,0,0,0,1.0
S03447,Science,3,2,1,0,0,1.0
S08467,Science,3,1,2,0,0,1.0
S00802,Science,3,1,2,0,0,1.0
S07917,Science,3,2,1,0,0,1.0
S04859,Science,9,2,7,0,0,1.0
S03117,Science,1,0,1,0,0,1.0
S02716,Science,3,2,1,0,0,1.0
S07872,Science,4,2,2,0,0,1.0
S03202,Science,4,2,2,0,0,1.0
S09846,Science,5,0,5,0,0,1.0
S06091,Science,4,1,3,0,0,1.0
S12128,Science,1,1,0,0,0,1.0
S02908,Science,3,0,3,0,0,1.0
S04679,Science,2,0,2,0,0,1.0
S03588,Science,3,0,3,0,0,1.0
S07063,Science,5,3,2,0,0,1.0
S11223,Science,3,1,2,0,0,1.0
S02927,Science,1,0,1,0,0,1.0
S04836,Science,2,1,1,0,0,1.0
S08029,Science,3,1,2,0,0,1.0
S09097,Science,2,1,1,0,0,1.0
S00349,Science,4,1,3,0,0,1.0
S09660,Science,2,1,1,0,0,1.0
S10442,Science,3,3,0,0,0,1.0
S03064,Science,2,0,2,0,0,1.0
S05654,Science,2,1,1,0,0,1.0
S00702,Science,4,4,0,0,0,1.0
S06728,Science,1,0,1,0,0,1.0
S04718,Science,4,2,2,0,0,1.0
S01506,Science,4,1,3,0,0,1.0
S08794,Science,3,1,2,0,0,1.0
S05459,Science,1,1,0,0,0,1.0
S00965,Science,2,0,2,0,0,1.0
S06695,Science,4,1,3,0,0,1.0
S08828,Science,2,0,2,0,0,1.0
S02328,Science,1,1,0,0,0,1.0
S02439,Science,2,1,1,0,0,1.0
S07788,Science,2,1,1,0,0,1.0
S04442,Science,3,2,1,0,0,1.0
S00946,Science,1,0,1,0,0,1.0
S07713,Science,3,2,1,0,0,1.0
S10889,Science,3,2,1,0,0,1.0
S11056,Science,1,1,0,0,0,1.0
S08790,Science,2,2,0,0,0,1.0
S10011,Science,3,1,2,0,0,1.0
S11877,Science,3,0,3,0,0,1.0
S07749,Science,2,0,2,0,0,1.0
S03455,Science,3,2,1,0,0,1.0
S08063,Science,3,1,2,0,0,1.0
S02823,Science,3,1,2,0,0,1.0
S03156,Science,5,4,1,0,0,1.0
S00372,Science,3,2,1,0,0,1.0
S08490,Science,4,2,2,0,0,1.0
S05166,Science,2,0,2,0,0,1.0
S03099,Science,2,2,0,0,0,1.0
S09208,Science,4,1,3,0,0,1.0
S02983,Science,3,2,1,0,0,1.0
S04601,Science,2,2,0,0,0,1.0
S08427,Science,1,1,0,0,0,1.0
S02461,Science,2,1,1,0,0,1.0
S05488,Science,4,1,3,0,0,1.0
S02694,Science,4,2,2,0,0,1.0
S04237,Science,2,1,1,0,0,1.0
S01109,Science,3,1,2,0,0,1.0
S03496,Science,2,1,1,0,0,1.0
S07569,Science,7,4,3,0,0,1.0
S01965,Science,5,3,2,0,0,1.0
S12044,Science,3,2,1,0,0,1.0
S06265,Science,1,0,1,0,0,1.0
S02024,Science,4,2,2,0,0,1.0
S03112,Science,3,2,1,0,0,1.0
S05532,Science,4,2,2,0,0,1.0
S06013,Science,2,1,1,0,0,1.0
S07874,Science,1,0,1,0,0,1.0
S05028,Science,3,2,1,0,0,1.0
S00444,Science,6,6,0,0,0,1.0
S01243,Science,3,1,2,0,0,1.0
S08306,Science,3,2,1,0,0,1.0
S10290,Science,1,1,0,0,0,1.0
S04757,Science,2,2,0,0,0,1.0
S05113,Science,1,1,0,0,0,1.0
S03814,Science,1,1,0,0,0,1.0
S05888,Science,3,3,0,0,0,1.0
S00294,Science,2,0,2,0,0,1.0
S03128,Science,1,0,1,0,0,1.0
S07524,Science,1,1,0,0,0,1.0
S08338,Science,3,0,3,0,0,1.0
S04978,Science,3,1,2,0,0,1.0
S05620,Science,6,2,4,0,0,1.0
S07871,Science,1,1,0,0,0,1.0
S00656,Science,2,1,1,0,0,1.0
S10110,Science,2,1,1,0,0,1.0
S00346,Science,6,3,3,0,0,1.0
S10899,Science,6,1,5,0,0,1.0
S07681,Science,2,2,0,0,0,1.0
S02757,Science,3,1,2,0,0,1.0
S07400,Science,1,1,0,0,0,1.0
S11283,Science,5,3,2,0,0,1.0
S06497,Science,1,1,0,0,0,1.0
S10894,Science,2,2,0,0,0,1.0
S11173,Science,1,1,0,0,0,1.0
S06073,Science,1,0,1,0,0,1.0
S03892,Science,6,1,5,0,0,1.0
S11274,Science,2,2,0,0,0,1.0
S08285,Science,1,0,1,0,0,1.0
S07022,Science,4,2,2,0,0,1.0
S09736,Science,1,0,1,0,0,1.0
S04880,Science,2,0,2,0,0,1.0
S07615,Science,3,1,2,0,0,1.0
S11183,Science,4,2,2,0,0,1.0
S02707,Science,5,1,4,0,0,1.0
S08048,Science,2,1,1,0,0,1.0
S10481,Science,4,2,2,0,0,1.0
S04776,Science,2,1,1,0,0,1.0
S07760,Science,1,0,1,0,0,1.0
S00830,Science,3,1,2,0,0,1.0
S05374,Science,2,1,1,0,0,1.0
S01909,Science,3,2,1,0,0,1.0
S05417,Science,1,0,1,0,0,1.0
S01358,Science,3,2,1,0,0,1.0
S05376,Science,5,3,2,0,0,1.0
S03535,Science,2,2,0,0,0,1.0
S09003,Science,1,0,1,0,0,1.0
S02161,Science,3,3,0,0,0,1.0
S06448,Science,3,1,2,0,0,1.0
S10494,Science,4,2,2,0,0,1.0
S04271,Science,8,0,8,0,0,1.0
S04948,Science,3,2,1,0,0,1.0
S07165,Science,4,1,3,0,0,1.0
S04504,Science,4,1,3,0,0,1.0
S04745,Science,1,0,1,0,0,1.0
S04437,Science,4,1,3,0,0,1.0
S10431,Science,5,4,1,0,0,1.0
S06807,Science,3,0,3,0,0,1.0
S05494,Science,2,1,1,0,0,1.0
S10188,Science,2,1,1,0,0,1.0
S03726,Science,5,5,0,0,0,1.0
S05194,Science,1,0,1,0,0,1.0
S00432,Science,5,3,2,0,0,1.0
S00407,Science,2,1,1,0,0,1.0
S07591,Science,1,0,1,0,0,1.0
S09621,Science,2,2,0,0,0,1.0
S08768,Science,5,4,1,0,0,1.0
S04445,Science,3,1,2,0,0,1.0
S01331,Science,2,1,1,0,0,1.0
S10266,Science,2,0,2,0,0,1.0
S02831,Science,3,0,3,0,0,1.0
S07157,Science,3,1,2,0,0,1.0
S09462,Science,3,2,1,0,0,1.0
S02851,Science,2,1,1,0,0,1.0
S02166,Science,3,2,1,0,0,1.0
S04149,Science,4,4,0,0,0,1.0
S11068,Science,1,1,0,0,0,1.0
S03979,Science,3,2,1,0,0,1.0
S06786,Science,1,1,0,0,0,1.0
S02445,Science,3,1,2,0,0,1.0
S07161,Science,3,2,1,0,0,1.0
S02506,Science,5,0,5,0,0,1.0
S10888,Science,1,1,0,0,0,1.0
S10929,Science,3,3,0,0,0,1.0
S03396,Science,2,1,1,0,0,1.0
S02657,Science,3,0,3,0,0,1.0
S11116,Science,2,1,1,0,0,1.0
S02952,Science,2,1,1,0,0,1.0
S06339,Science,2,0,2,0,0,1.0
S03245,Science,2,1,1,0,0,1.0
S02389,Science,2,1,1,0,0,1.0
S11286,Science,2,2,0,0,0,1.0
S01559,Science,4,3,1,0,0,1.0
S11403,Science,3,3,0,0,0,1.0
S03051,Science,2,0,2,0,0,1.0
S08268,Science,3,1,2,0,0,1.0
S07536,Science,2,0,2,0,0,1.0
S05614,Science,3,2,1,0,0,1.0
S12099,Science,2,1,1,0,0,1.0
S11120,Science,4,0,4,0,0,1.0
S01214,Science,3,2,1,0,0,1.0
S02481,Science,2,0,2,0,0,1.0
S02689,Science,1,1,0,0,0,1.0
S04614,Science,2,1,1,0,0,1.0
S11318,Science,3,2,1,0,0,1.0
S07826,Science,2,1,1,0,0,1.0
S00808,Science,2,0,2,0,0,1.0
S08603,Science,3,1,2,0,0,1.0
S11756,Science,4,2,2,0,0,1.0
S06784,Science,1,0,1,0,0,1.0
S10535,Science,2,1,1,0,0,1.0
S03845,Science,4,4,0,0,0,1.0
S08801,Science,4,2,2,0,0,1.0
S05148,Science,3,1,2,0,0,1.0
S06827,Science,2,0,2,0,0,1.0
S00780,Science,3,2,1,0,0,1.0
S04842,Science,3,0,3,0,0,1.0
S10508,Science,5,4,1,0,0,1.0
S05679,Science,4,2,2,0,0,1.0
S09149,Science,2,1,1,0,0,1.0
S01155,Science,3,2,1,0,0,1.0
S06165,Science,1,0,1,0,0,1.0
S02806,Science,1,1,0,0,0,1.0
S11097,Science,5,3,2,0,0,1.0
S06955,Science,1,0,1,0,0,1.0
S05234,Science,2,1,1,0,0,1.0
S10525,Science,6,3,3,0,0,1.0
S08073,Science,3,0,3,0,0,1.0
S08394,Science,3,1,2,0,0,1.0
S07785,Science,2,1,1,0,0,1.0
S11715,Science,1,0,1,0,0,1.0
S10827,Science,2,2,0,0,0,1.0
S00842,Science,2,1,1,0,0,1.0
S09755,Science,5,1,4,0,0,1.0
S07710,Science,1,1,0,0,0,1.0
S03048,Science,4,1,3,0,0,1.0
S03601,Science,3,0,3,0,0,1.0
S11132,Science,4,4,0,0,0,1.0
S04041,Science,2,0,2,0,0,1.0
S02976,Science,5,1,4,0,0,1.0
S10001,Science,3,0,3,0,0,1.0
S09014,Science,6,3,3,0,0,1.0
S05383,Science,1,0,1,0,0,1.0
S09935,Science,2,1,1,0,0,1.0
S00002,Science,4,4,0,0,0,1.0
S03332,Science,2,1,1,0,0,1.0
S11636,Science,2,1,1,0,0,1.0
S08385,Science,5,3,2,0,0,1.0
S07779,Science,2,2,0,0,0,1.0
S00916,Science,4,0,4,0,0,1.0
S00355,Science,4,2,2,0,0,1.0
S12105,Science,1,0,1,0,0,1.0
S05991,Science,4,3,1,0,0,1.0
S00617,Science,2,0,2,0,0,1.0
S00482,Science,2,2,0,0,0,1.0
S11566,Science,4,3,1,0,0,1.0
S05940,Science,2,2,0,0,0,1.0
S01933,Science,4,1,3,0,0,1.0
S01679,Science,2,1,1,0,0,1.0
S06328,Science,2,0,2,0,0,1.0
S10693,Science,2,1,1,0,0,1.0
S09310,Science,3,2,1,0,0,1.0
S08573,Science,1,0,1,0,0,1.0
S06971,Science,2,0,2,0,0,1.0
S11207,Science,3,1,2,0,0,1.0
S06269,Science,2,1,1,0,0,1.0
S05916,Science,2,1,1,0,0,1.0
S06292,Science,2,1,1,0,0,1.0
S01783,Science,3,0,3,0,0,1.0
S02724,Science,2,0,2,0,0,1.0
S09748,Science,4,1,3,0,0,1.0
S00453,Science,2,1,1,0,0,1.0
S10158,Science,1,0,1,0,0,1.0
S00607,Science,1,1,0,0,0,1.0
S06875,Science,2,0,2,0,0,1.0
S03873,Science,3,0,3,0,0,1.0
S08550,Science,1,0,1,0,0,1.0
S01060,Science,1,1,0,0,0,1.0
S09331,Science,2,1,1,0,0,1.0
S02534,Science,2,1,1,0,0,1.0
S02124,Science,3,2,1,0,0,1.0
S02866,Science,3,1,2,0,0,1.0
S05053,Science,1,0,1,0,0,1.0
S10893,Science,3,2,1,0,0,1.0
S07478,Science,2,0,2,0,0,1.0
S09270,Science,1,0,1,0,0,1.0
S03436,Science,4,2,2,0,0,1.0
S07634,Science,1,0,1,0,0,1.0
S10111,Science,2,1,1,0,0,1.0
S07544,Science,2,1,1,0,0,1.0
S05989,Science,1,1,0,0,0,1.0
S04920,Science,5,1,4,0,0,1.0
S00138,Science,4,2,2,0,0,1.0
S06217,Science,1,0,1,0,0,1.0
S01223,Science,2,2,0,0,0,1.0
S05796,Science,3,1,2,0,0,1.0
S03470,Science,2,1,1,0,0,1.0
S03708,Science,3,2,1,0,0,1.0
S01678,Science,3,1,2,0,0,1.0
S07786,Science,5,3,2,0,0,1.0
S06115,Science,2,0,2,0,0,1.0
S04104,Science,5,5,0,0,0,1.0
S05857,Science,2,1,1,0,0,1.0
S11534,Science,2,1,1,0,0,1.0
S05829,Science,1,1,0,0,0,1.0
S03913,Science,1,1,0,0,0,1.0
S08574,Science,1,1,0,0,0,1.0
S04394,Science,4,1,3,0,0,1.0
S00595,Science,1,1,0,0,0,1.0
S07057,Science,3,1,2,0,0,1.0
S09218,Science,4,2,2,0,0,1.0
S06279,Science,2,0,2,0,0,1.0
S11150,Science,3,1,2,0,0,1.0
S00857,Science,2,1,1,0,0,1.0
S10028,Science,3,1,2,0,0,1.0
S09179,Science,2,0,2,0,0,1.0
S02961,Science,1,1,0,0,0,1.0
S00996,Science,4,1,3,0,0,1.0
S11149,Science,4,3,1,0,0,1.0
S02714,Science,3,1,2,0,0,1.0
S05856,Science,1,1,0,0,0,1.0
S10379,Science,3,2,1,0,0,1.0
S06821,Science,1,0,1,0,0,1.0
S11879,Science,1,1,0,0,0,1.0
S00184,Science,1,1,0,0,0,1.0
S08239,Science,1,1,0,0,0,1.0
S08857,Science,2,1,1,0,0,1.0
S00749,Science,2,2,0,0,0,1.0
S05063,Science,1,0,1,0,0,1.0
